t,stitched_agents,sipp_ok,fallbacks,skipped_clean
865,10,10,0,0
t,stitched_agents,sipp_ok,fallbacks,skipped_clean
870,10,10,0,0
t,stitched_agents,sipp_ok,fallbacks,skipped_clean
875,10,10,0,0
t,stitched_agents,sipp_ok,fallbacks,skipped_clean
880,10,10,0,0
t,stitched_agents,sipp_ok,fallbacks,skipped_clean
885,10,10,0,0
t,stitched_agents,sipp_ok,fallbacks,skipped_clean
890,10,10,0,0
t,stitched_agents,sipp_ok,fallbacks,skipped_clean
895,10,10,0,0
t,stitched_agents,sipp_ok,fallbacks,skipped_clean
900,10,10,0,0
t,stitched_agents,sipp_ok,fallbacks,skipped_clean
905,10,10,0,0
t,stitched_agents,sipp_ok,fallbacks,skipped_clean
910,10,10,0,0
t,stitched_agents,sipp_ok,fallbacks,skipped_clean
915,10,10,0,0
t,stitched_agents,sipp_ok,fallbacks,skipped_clean
920,10,10,0,0
t,stitched_agents,sipp_ok,fallbacks,skipped_clean
925,10,10,0,0
t,stitched_agents,sipp_ok,fallbacks,skipped_clean
930,10,10,0,0
t,stitched_agents,sipp_ok,fallbacks,skipped_clean
935,10,10,0,0
t,stitched_agents,sipp_ok,fallbacks,skipped_clean
940,10,10,0,0
t,stitched_agents,sipp_ok,fallbacks,skipped_clean
945,10,10,0,0
t,stitched_agents,sipp_ok,fallbacks,skipped_clean
950,10,10,0,0
t,stitched_agents,sipp_ok,fallbacks,skipped_clean
955,10,10,0,0
t,stitched_agents,sipp_ok,fallbacks,skipped_clean
960,10,10,0,0
t,stitched_agents,sipp_ok,fallbacks,skipped_clean
965,10,10,0,0
t,stitched_agents,sipp_ok,fallbacks,skipped_clean
970,10,10,0,0
t,stitched_agents,sipp_ok,fallbacks,skipped_clean
975,10,10,0,0
t,stitched_agents,sipp_ok,fallbacks,skipped_clean
980,10,10,0,0
t,stitched_agents,sipp_ok,fallbacks,skipped_clean
985,10,10,0,0
t,stitched_agents,sipp_ok,fallbacks,skipped_clean
990,10,10,0,0
t,stitched_agents,sipp_ok,fallbacks,skipped_clean
995,10,10,0,0
t,stitched_agents,sipp_ok,fallbacks,skipped_clean
1000,10,10,0,0
t,stitched_agents,sipp_ok,fallbacks,skipped_clean
1005,10,10,0,0
t,stitched_agents,sipp_ok,fallbacks,skipped_clean
1010,10,10,0,0
t,stitched_agents,sipp_ok,fallbacks,skipped_clean
1015,10,10,0,0
t,stitched_agents,sipp_ok,fallbacks,skipped_clean
1020,10,10,0,0
t,stitched_agents,sipp_ok,fallbacks,skipped_clean
1025,10,10,0,0
t,stitched_agents,sipp_ok,fallbacks,skipped_clean
1030,10,10,0,0
t,stitched_agents,sipp_ok,fallbacks,skipped_clean
1035,10,10,0,0
t,stitched_agents,sipp_ok,fallbacks,skipped_clean
1040,10,10,0,0
t,stitched_agents,sipp_ok,fallbacks,skipped_clean
1045,10,10,0,0
t,stitched_agents,sipp_ok,fallbacks,skipped_clean
1050,10,10,0,0
t,stitched_agents,sipp_ok,fallbacks,skipped_clean
1055,10,10,0,0
t,stitched_agents,sipp_ok,fallbacks,skipped_clean
1060,10,10,0,0
t,stitched_agents,sipp_ok,fallbacks,skipped_clean
1065,10,10,0,0
t,stitched_agents,sipp_ok,fallbacks,skipped_clean
1070,10,10,0,0
t,stitched_agents,sipp_ok,fallbacks,skipped_clean
1075,10,10,0,0
t,stitched_agents,sipp_ok,fallbacks,skipped_clean
1080,10,10,0,0
t,stitched_agents,sipp_ok,fallbacks,skipped_clean
1085,10,10,0,0
t,stitched_agents,sipp_ok,fallbacks,skipped_clean
1090,10,10,0,0
t,stitched_agents,sipp_ok,fallbacks,skipped_clean
1095,10,10,0,0
t,stitched_agents,sipp_ok,fallbacks,skipped_clean
1100,10,10,0,0
t,stitched_agents,sipp_ok,fallbacks,skipped_clean
1105,10,10,0,0
t,stitched_agents,sipp_ok,fallbacks,skipped_clean
1110,10,10,0,0
t,stitched_agents,sipp_ok,fallbacks,skipped_clean
1115,10,10,0,0
t,stitched_agents,sipp_ok,fallbacks,skipped_clean
1120,10,10,0,0
t,stitched_agents,sipp_ok,fallbacks,skipped_clean
1125,10,10,0,0
t,stitched_agents,sipp_ok,fallbacks,skipped_clean
1130,10,10,0,0
t,stitched_agents,sipp_ok,fallbacks,skipped_clean
1135,10,10,0,0
t,stitched_agents,sipp_ok,fallbacks,skipped_clean
1140,10,10,0,0
t,stitched_agents,sipp_ok,fallbacks,skipped_clean
1145,10,10,0,0
t,stitched_agents,sipp_ok,fallbacks,skipped_clean
1150,10,10,0,0
t,stitched_agents,sipp_ok,fallbacks,skipped_clean
1155,10,10,0,0
t,stitched_agents,sipp_ok,fallbacks,skipped_clean
1160,10,10,0,0
t,stitched_agents,sipp_ok,fallbacks,skipped_clean
1165,10,10,0,0
t,stitched_agents,sipp_ok,fallbacks,skipped_clean
1170,10,10,0,0
t,stitched_agents,sipp_ok,fallbacks,skipped_clean
1175,10,10,0,0
t,stitched_agents,sipp_ok,fallbacks,skipped_clean
1180,10,10,0,0
t,stitched_agents,sipp_ok,fallbacks,skipped_clean
1185,10,10,0,0
t,stitched_agents,sipp_ok,fallbacks,skipped_clean
1190,10,10,0,0
t,stitched_agents,sipp_ok,fallbacks,skipped_clean
1195,10,10,0,0
t,stitched_agents,sipp_ok,fallbacks,skipped_clean
1200,10,10,0,0
t,stitched_agents,sipp_ok,fallbacks,skipped_clean
1205,10,10,0,0
t,stitched_agents,sipp_ok,fallbacks,skipped_clean
1210,10,10,0,0
t,stitched_agents,sipp_ok,fallbacks,skipped_clean
1215,10,10,0,0
t,stitched_agents,sipp_ok,fallbacks,skipped_clean
1220,10,10,0,0
t,stitched_agents,sipp_ok,fallbacks,skipped_clean
1225,10,10,0,0
t,stitched_agents,sipp_ok,fallbacks,skipped_clean
1230,10,10,0,0
t,stitched_agents,sipp_ok,fallbacks,skipped_clean
1235,10,10,0,0
t,stitched_agents,sipp_ok,fallbacks,skipped_clean
1240,10,10,0,0
t,stitched_agents,sipp_ok,fallbacks,skipped_clean
1245,10,10,0,0
t,stitched_agents,sipp_ok,fallbacks,skipped_clean
1250,10,10,0,0
t,stitched_agents,sipp_ok,fallbacks,skipped_clean
1255,10,10,0,0
t,stitched_agents,sipp_ok,fallbacks,skipped_clean
1260,10,10,0,0
t,stitched_agents,sipp_ok,fallbacks,skipped_clean
1265,10,10,0,0
t,stitched_agents,sipp_ok,fallbacks,skipped_clean
1270,10,10,0,0
t,stitched_agents,sipp_ok,fallbacks,skipped_clean
1275,10,10,0,0
t,stitched_agents,sipp_ok,fallbacks,skipped_clean
1280,10,10,0,0
t,stitched_agents,sipp_ok,fallbacks,skipped_clean
1285,10,10,0,0
t,stitched_agents,sipp_ok,fallbacks,skipped_clean
1290,10,10,0,0
t,stitched_agents,sipp_ok,fallbacks,skipped_clean
1295,10,10,0,0
t,stitched_agents,sipp_ok,fallbacks,skipped_clean
1300,10,10,0,0
t,stitched_agents,sipp_ok,fallbacks,skipped_clean
1305,10,10,0,0
t,stitched_agents,sipp_ok,fallbacks,skipped_clean
1310,10,10,0,0
t,stitched_agents,sipp_ok,fallbacks,skipped_clean
1315,10,10,0,0
t,stitched_agents,sipp_ok,fallbacks,skipped_clean
1320,10,10,0,0
t,stitched_agents,sipp_ok,fallbacks,skipped_clean
1325,10,10,0,0
t,stitched_agents,sipp_ok,fallbacks,skipped_clean
1330,10,10,0,0
t,stitched_agents,sipp_ok,fallbacks,skipped_clean
1335,10,10,0,0
t,stitched_agents,sipp_ok,fallbacks,skipped_clean
1340,10,10,0,0
t,stitched_agents,sipp_ok,fallbacks,skipped_clean
1345,10,10,0,0
t,stitched_agents,sipp_ok,fallbacks,skipped_clean
1350,10,10,0,0
t,stitched_agents,sipp_ok,fallbacks,skipped_clean
1355,10,10,0,0
t,stitched_agents,sipp_ok,fallbacks,skipped_clean
1360,10,10,0,0
t,stitched_agents,sipp_ok,fallbacks,skipped_clean
1365,10,10,0,0
t,stitched_agents,sipp_ok,fallbacks,skipped_clean
1370,10,10,0,0
t,stitched_agents,sipp_ok,fallbacks,skipped_clean
1375,10,10,0,0
t,stitched_agents,sipp_ok,fallbacks,skipped_clean
1380,10,10,0,0
t,stitched_agents,sipp_ok,fallbacks,skipped_clean
1385,10,10,0,0
t,stitched_agents,sipp_ok,fallbacks,skipped_clean
1390,10,10,0,0
t,stitched_agents,sipp_ok,fallbacks,skipped_clean
1395,10,10,0,0
t,stitched_agents,sipp_ok,fallbacks,skipped_clean
1400,10,10,0,0
t,stitched_agents,sipp_ok,fallbacks,skipped_clean
1405,10,10,0,0
t,stitched_agents,sipp_ok,fallbacks,skipped_clean
1410,10,10,0,0
t,stitched_agents,sipp_ok,fallbacks,skipped_clean
1415,10,10,0,0
t,stitched_agents,sipp_ok,fallbacks,skipped_clean
1420,10,10,0,0
t,stitched_agents,sipp_ok,fallbacks,skipped_clean
1425,10,10,0,0
t,stitched_agents,sipp_ok,fallbacks,skipped_clean
1430,10,10,0,0
t,stitched_agents,sipp_ok,fallbacks,skipped_clean
1435,10,10,0,0
t,stitched_agents,sipp_ok,fallbacks,skipped_clean
1440,10,10,0,0
t,stitched_agents,sipp_ok,fallbacks,skipped_clean
1445,10,10,0,0
t,stitched_agents,sipp_ok,fallbacks,skipped_clean
1450,10,10,0,0
t,stitched_agents,sipp_ok,fallbacks,skipped_clean
1455,10,10,0,0
t,stitched_agents,sipp_ok,fallbacks,skipped_clean
1460,10,10,0,0
t,stitched_agents,sipp_ok,fallbacks,skipped_clean
1465,10,10,0,0
t,stitched_agents,sipp_ok,fallbacks,skipped_clean
1470,10,10,0,0
t,stitched_agents,sipp_ok,fallbacks,skipped_clean
1475,10,10,0,0
t,stitched_agents,sipp_ok,fallbacks,skipped_clean
1480,10,10,0,0
t,stitched_agents,sipp_ok,fallbacks,skipped_clean
1485,10,10,0,0
t,stitched_agents,sipp_ok,fallbacks,skipped_clean
1490,10,10,0,0
t,stitched_agents,sipp_ok,fallbacks,skipped_clean
1495,10,10,0,0
t,stitched_agents,sipp_ok,fallbacks,skipped_clean
1500,10,10,0,0
t,stitched_agents,sipp_ok,fallbacks,skipped_clean
1505,10,10,0,0
t,stitched_agents,sipp_ok,fallbacks,skipped_clean
1510,10,10,0,0
t,stitched_agents,sipp_ok,fallbacks,skipped_clean
1515,10,10,0,0
t,stitched_agents,sipp_ok,fallbacks,skipped_clean
1520,10,10,0,0
t,stitched_agents,sipp_ok,fallbacks,skipped_clean
1525,10,10,0,0
t,stitched_agents,sipp_ok,fallbacks,skipped_clean
1530,10,10,0,0
t,stitched_agents,sipp_ok,fallbacks,skipped_clean
1535,10,10,0,0
t,stitched_agents,sipp_ok,fallbacks,skipped_clean
1540,10,10,0,0
t,stitched_agents,sipp_ok,fallbacks,skipped_clean
1545,10,10,0,0
t,stitched_agents,sipp_ok,fallbacks,skipped_clean
1550,10,10,0,0
t,stitched_agents,sipp_ok,fallbacks,skipped_clean
1555,10,10,0,0
t,stitched_agents,sipp_ok,fallbacks,skipped_clean
1560,10,10,0,0
t,stitched_agents,sipp_ok,fallbacks,skipped_clean
1565,10,10,0,0
t,stitched_agents,sipp_ok,fallbacks,skipped_clean
1570,10,10,0,0
t,stitched_agents,sipp_ok,fallbacks,skipped_clean
1575,10,10,0,0
t,stitched_agents,sipp_ok,fallbacks,skipped_clean
1580,10,10,0,0
t,stitched_agents,sipp_ok,fallbacks,skipped_clean
1585,10,10,0,0
t,stitched_agents,sipp_ok,fallbacks,skipped_clean
1590,10,10,0,0
t,stitched_agents,sipp_ok,fallbacks,skipped_clean
1595,10,10,0,0
t,stitched_agents,sipp_ok,fallbacks,skipped_clean
1600,10,10,0,0
t,stitched_agents,sipp_ok,fallbacks,skipped_clean
1605,10,10,0,0
t,stitched_agents,sipp_ok,fallbacks,skipped_clean
1610,10,10,0,0
t,stitched_agents,sipp_ok,fallbacks,skipped_clean
1615,10,10,0,0
